"Title","Series","Series Order","Author","Rating","Average Rating","Number of Pages","Date Read","Date Added","Bookshelves"
"Chain-Gang All-Stars","","","Adjei-Brenyah, Nana Kwame","5","4.13","367","14/01/2024","14/01/2024","2024"
"The Champion's Mind","","","Afremow, Jim","4","3.94","288","19/03/2022","19/03/2022","2022"
"Hidden Empire","The Saga of Seven Suns","1","Anderson, Kevin J.","","","","","",""
"A Forest of Stars","The Saga of Seven Suns","2","Anderson, Kevin J.","","","","","",""
"Horizon Storms","The Saga of Seven Suns","3","Anderson, Kevin J.","","","","","",""
"Scattered Suns","The Saga of Seven Suns","4","Anderson, Kevin J.","","","","","",""
"Of Fire and Night","The Saga of Seven Suns","5","Anderson, Kevin J.","","","","","",""
"Metal Swarm","The Saga of Seven Suns","6","Anderson, Kevin J.","","","","","",""
"The Ashes of Worlds","The Saga of Seven Suns","7","Anderson, Kevin J.","","","","","",""
"Light from Uncommon Stars","","","Aoki, Ryka","4","4.06","372","30/12/2023","17/02/2023","2023"
"Foundation and Earth","Foundation","5","Asimov, Isaac","5","4.07","499","29/04/2022","30/04/2022","2022"
"Foundation's Edge","Foundation","4","Asimov, Isaac","4","4.18","450","11/04/2022","10/04/2022","2022"
"Second Foundation","Foundation","3","Asimov, Isaac","5","4.27","256","22/03/2022","22/03/2022","2022"
"Foundation and Empire","Foundation","2","Asimov, Isaac","5","4.22","256","07/03/2022","08/03/2022","2022"
"Foundation","Foundation","1","Asimov, Isaac","5","4.17","244","05/02/2022","25/02/2017","2022"
"A Life on Our Planet","","","Attenborough, David","5","4.51","272","06/08/2022","10/03/2022","2022"
"Use of Weapons","Culture","3","Banks, Iain M.","3","4.17","411","15/12/2023","22/12/2023","2023"
"The Player of Games","Culture","2","Banks, Iain M.","4","4.28","293","21/06/2023","17/07/2023","2023"
"Consider Phlebas","Culture","1","Banks, Iain M.","4","3.85","467","14/05/2023","17/07/2023","2023"
"Gone","","","Blencowe, Michael","0","4.44","192","21/10/2021","13/01/2022",""
"Rewilding","","","Blythe, Cain","5","4.1","0","10/10/2024","09/10/2024","2024"
"Fahrenheit 451","","","Bradbury, Ray","0","3.96","194","","12/08/2024",""
"A Short History fo Nearly Everything","","","Bryson, Bill","","","","","",""
"Last of the Wilds","Age of Five","2","Canavan, Trudi","5","4.06","576","11/01/2022","08/05/2008","2022"
"Voice of the Gods","Age of Five","3","Canavan, Trudi","5","4.11","574","11/01/2022","08/05/2008","2022"
"Priestess of the White","Age of Five","1","Canavan, Trudi","5","3.88","598","11/01/2022","08/05/2008","2022"
"The Novice","Black Magician Trilogy","2","Canavan, Trudi","5","4.08","577","08/05/2008","08/05/2008",""
"The High Lord","Black Magician Trilogy","3","Canavan, Trudi","5","4.14","644","08/05/2008","08/05/2008",""
